CASE_NUMBER,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,NEW_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,EMPLOYER_FEIN,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,H-1B_DEPENDENT,WILLFUL_VIOLATOR
I-200-2025-00000,Certified,2025-01-14,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,50.0,Hour,109000.0,Year,I,N,N
I-200-2025-00001,Certified,2025-04-16,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,9000000.0,Year,75400.0,Year,,N,N
I-200-2025-00002,Certified,2024-11-25,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,133900.0,Year,112400.0,Year,IV,N,N
I-200-2025-00003,Denied,2024-11-12,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,67400.0,Year,54600.0,Year,IV,N,N
I-200-2025-00004,Denied,2025-02-10,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,115100.0,Year,99700.0,Year,IV,N,N
I-200-2025-00005,Denied,2025-01-07,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,93400.0,Year,88600.0,Year,II,N,N
I-200-2025-00006,Certified,2024-12-26,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,123600.0,Year,99500.0,Year,IV,N,N
I-200-2025-00007,Certified,2025-07-03,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,88000.0,Year,71300.0,Year,III,N,N
I-200-2025-00008,Certified,2024-11-14,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,131500.0,Year,122500.0,Year,II,N,N
I-200-2025-00009,Certified,2025-02-06,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,2,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,111000.0,Year,108400.0,Year,,N,N
I-200-2025-00010,Certified,2025-09-16,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,70500.0,Year,62600.0,Year,,N,N
I-200-2025-00011,Certified,2025-07-24,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,65500.0,Year,60600.0,Year,,N,N
I-200-2025-00012,Denied,2025-07-17,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,98700.0,Year,84000.0,Year,,N,N
I-200-2025-00013,Certified,2025-06-19,E-3 Australian,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,130900.0,Year,111900.0,Year,IV,N,N
I-200-2025-00014,Certified,2025-01-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,107500.0,Year,96200.0,Year,I,N,N
I-200-2025-00015,Certified,2025-05-17,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,106300.0,Year,89700.0,Year,II,N,N
I-200-2025-00016,Certified,2025-03-11,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,100300.0,Year,89300.0,Year,IV,N,N
I-200-2025-00017,Certified,2024-11-24,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,119800.0,Year,99400.0,Year,,N,N
I-200-2025-00018,Certified,2024-10-03,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,112500.0,Year,110800.0,Year,II,N,N
I-200-2025-00019,Certified,2025-03-12,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,110600.0,Year,102800.0,Year,II,N,N
I-200-2025-00020,Certified - Withdrawn,2025-01-11,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,85300.0,Year,69800.0,Year,,N,N
I-200-2025-00021,Certified - Withdrawn,2025-08-13,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,128800.0,Year,108000.0,Year,IV,N,N
I-200-2025-00022,Certified,2025-03-06,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,132300.0,Year,127800.0,Year,III,N,N
I-200-2025-00023,Certified - Withdrawn,2025-05-16,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,79000.0,Year,69100.0,Year,,N,N
I-200-2025-00024,Certified,2025-04-21,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,151000.0,Year,128700.0,Year,II,N,N
I-200-2025-00025,Certified,2024-10-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,119500.0,Year,96200.0,Year,IV,N,N
I-200-2025-00026,Withdrawn,2025-04-30,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,95200.0,Year,89000.0,Year,II,N,N
I-200-2025-00027,Certified,2025-03-30,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,66900.0,Year,61200.0,Year,I,N,N
I-200-2025-00028,Certified,2025-09-22,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,118100.0,Year,114300.0,Year,IV,N,N
I-200-2025-00029,Certified,2025-03-18,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,116200.0,Year,96900.0,Year,II,N,N
I-200-2025-00030,Certified,2025-01-27,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,93100.0,Year,88500.0,Year,II,N,N
I-200-2025-00031,Certified,2025-03-25,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,69200.0,Year,66800.0,Year,IV,N,N
I-200-2025-00032,Certified,2025-07-27,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,127500.0,Year,123000.0,Year,IV,N,N
I-200-2025-00033,Certified,2025-02-27,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,93200.0,Year,88500.0,Year,IV,N,N
I-200-2025-00034,Certified,2025-09-12,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,95600.0,Year,84900.0,Year,III,N,N
I-200-2025-00035,Certified,2025-07-20,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,161900.0,Year,131100.0,Year,,N,N
I-200-2025-00036,Withdrawn,2024-10-30,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,147600.0,Year,137100.0,Year,IV,N,N
I-200-2025-00037,Certified,2025-04-10,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,124100.0,Year,99900.0,Year,IV,N,N
